cpu,ram,disk_read,disk_write,net_sent,net_recv
13.7,63.3,27910249984,11784057344,21584987,342335731
8.2,63.3,27910249984,11784061440,21588752,342336850
10.9,63.3,27910282752,11784376832,21588854,342336924
8.3,63.3,27910282752,11784638976,21598832,342648618
11.0,63.4,27910282752,11784688128,21598906,342648719
11.1,63.4,27910282752,11784700416,21603779,342738308
8.4,63.4,27910282752,11784708608,21607502,342739427
11.7,63.4,27910282752,11784962560,21617567,343040971
9.3,63.4,27910282752,11784970752,21626859,343046228
11.3,63.4,27910282752,11784974848,21626859,343046228
13.3,63.3,27910282752,11786105344,21632428,343172884
24.8,63.6,27910336000,11786523136,21636202,343173819
13.1,63.6,27911286272,11790430720,21642175,343422312
10.7,63.6,27911466496,11791094272,21642345,343422366
10.4,63.6,27911466496,11791106560,21647584,343619946
23.4,63.5,27911482880,11791168000,21651683,343620866
11.8,63.3,27911515648,11791389184,21652107,343620866
8.6,63.5,27911515648,11791557120,21662929,343927973
10.8,63.5,27911826944,11793457664,21663200,343928640
12.7,63.5,27911826944,11793461760,21678564,344119451
15.9,63.4,27911826944,11793494528,21684412,344125828
9.9,63.6,27911892480,11793580544,21690413,344238624
12.7,63.6,27911892480,11793584640,21694030,344239466
6.1,63.6,27911892480,11793883648,21694030,344239466
11.2,63.6,27911892480,11793904128,21701030,344478656
16.9,63.6,27911892480,11793908224,21707327,344575492
8.2,63.6,27911892480,11794121216,21710991,344576378
10.7,63.6,27911892480,11794440704,21711232,344576553
12.2,63.5,27911892480,11794506240,21720848,344582508
28.3,63.2,27911892480,11794518528,21726969,344852798
13.8,63.0,27911892480,11794518528,21735337,344990355
9.0,63.0,27911892480,11794539008,21735337,344990409
14.5,63.0,27911892480,11794649600,21743112,345331731
10.4,63.0,27911892480,11794805248,21746666,345332438
13.6,63.0,27911892480,11794817536,21746666,345332438
12.3,63.0,27911892480,11795014144,21756689,345452013
9.0,63.1,27911892480,11795046912,21756763,345452191
9.1,63.1,27911892480,11795100160,21756825,345452191
7.0,63.1,27911892480,11795137024,21766905,345743047
12.0,63.2,27911892480,11795239424,21766905,345743047
10.9,63.2,27911892480,11795239424,21772692,345884973
18.4,63.2,27911892480,11795669504,21776300,345886004
10.6,62.9,27911919104,11795970560,21776436,345886105
12.2,62.9,27911919104,11796244992,21786572,346210801
12.0,62.9,27911919104,11796285952,21786572,346210801
27.7,62.9,27911919104,11796294144,21808409,346434019
10.1,62.9,27911919104,11796302336,21812747,346493325
11.0,63.0,27911919104,11796400640,21813010,346494085
10.3,63.0,27911919104,11796453888,21823664,346499152
15.3,63.1,27911919104,11796470272,21823664,346499152
26.8,63.1,27911919104,11796482560,21833692,346790682
11.0,63.1,27911919104,11796572672,21833766,346790860
11.1,62.9,27911919104,11796572672,21844146,347080529
8.0,62.9,27911919104,11796613632,21844472,347080803
16.7,63.1,27911919104,11796691456,21849152,347143112
21.2,63.0,27911919104,11796720128,21853345,347204056
14.6,63.0,27911919104,11797006848,21859831,347220706
11.1,63.0,27911919104,11797170688,21867146,347537544
7.6,63.0,27911919104,11797252608,21867400,347537805
13.4,63.1,27911919104,11797375488,21873129,347709863
10.1,63.0,27911931392,11797412352,21873238,347709983
12.5,63.0,27911947776,11797486080,21878937,347763237
8.8,63.0,27911947776,11797572096,21882448,347990574
8.5,63.0,27911947776,11797723648,21882666,347990794
15.4,63.1,27911947776,11797789184,21892163,348140840
9.1,63.0,27911947776,11797916160,21892292,348141007
10.9,63.0,27911947776,11797920256,21903190,348466726
13.9,63.0,27911964160,11798055424,21908562,348468207
11.1,62.9,27911964160,11798088192,21914117,348470704
10.8,63.0,27911964160,11798096384,21925459,348742773
6.6,63.0,27911964160,11798108672,21929222,348743836
9.8,63.0,27911976448,11798661632,21929222,348743836
10.8,63.0,27911976448,11798731264,21929358,348743937
7.9,63.0,27911976448,11798788608,21939167,349020917
20.1,62.9,27911992832,11798874624,21943586,349041950
10.6,62.6,27911992832,11805084160,21945711,349190487
14.5,62.6,27911992832,11805170176,21949489,349191416
11.6,62.6,27912054272,11805256192,21949551,349191416
13.7,62.7,27912054272,11805325824,21956337,349556870
7.1,62.7,27912087040,11805346304,21959867,349557452
9.7,62.7,27912087040,11805374976,21961545,349558097
13.1,62.7,27912087040,11805403648,21961798,349558349
15.5,62.7,27912975872,11805473280,21971410,349808572
13.2,62.7,27912975872,11805739520,21976931,349932782
19.9,62.7,27912984064,11806009856,21980723,349933787
19.7,62.8,27912984064,11806009856,21984185,349937957
18.6,62.9,27913180672,11806624256,21987737,350302118
16.5,62.7,27914196480,11810834944,22000985,350308903
10.4,62.8,27914196480,11810863616,22001059,350309004
8.7,62.9,27914196480,11810863616,22007752,350494604
9.7,62.9,27914196480,11810875904,22011572,350495539
15.4,62.8,27914204672,11811768832,22011736,350495613
18.1,62.9,27914229248,11811990016,22018199,350755345
8.8,62.9,27914229248,11812059648,22023122,350889824
18.2,63.0,27914266112,11812108800,22026701,350890731
5.9,62.9,27914266112,11812141568,22026701,350890731
15.0,62.9,27914266112,11812153856,22026837,350890832
14.3,62.9,27914266112,11812276736,22033677,351203227
13.0,62.7,27914266112,11812456960,22037236,351203977
7.3,62.9,27914266112,11812669952,22044131,351364227
19.8,63.0,27914511872,11812727296,22047786,351364896
23.8,63.0,27916707328,11813050880,22047848,351364896
20.8,63.0,27916756480,11813087744,22051301,351365078
16.4,62.7,27916756480,11813091840,22058693,351703346
17.6,62.8,27916813824,11813100032,22071100,351714508
20.5,62.8,27916813824,11813390848,22071202,351714508
18.7,62.8,27916830208,11813657088,22081319,352099256
18.5,62.8,27916830208,11813870080,22094333,352105148
21.7,62.9,27916838400,11813935616,22094333,352105148
15.7,62.8,27916936704,11813947904,22102867,352255362
19.8,63.0,27916936704,11813956096,22102867,352255362
21.9,62.9,27916936704,11813964288,22108553,352447521
19.1,63.0,27916936704,11814001152,22124125,352529263
25.3,63.0,27916936704,11814058496,22127574,352530644
31.3,62.9,27916944896,11814636032,22131527,352590500
29.0,62.6,27916944896,11815209472,22136820,352662054
26.9,62.4,27916951040,11816002048,22139681,352688095
26.6,62.5,27916951040,11816411648,22153672,352701592
23.8,62.4,27916951040,11816714752,22167243,352729149
19.1,62.5,27916967424,11816735232,22173401,352774088
22.3,62.6,27916983808,11816948224,22178121,352828892
21.9,62.6,27916983808,11817165312,22183125,352889948
20.4,62.6,27916983808,11817202176,22192257,352969052
21.6,62.4,27917032960,11817542144,22198711,353059492
33.9,62.5,27917032960,11817599488,22205881,353170358
27.3,62.6,27917032960,11817943552,22208312,353223416
17.4,62.6,27917049344,11817980416,22212526,353270305
21.4,62.5,27917049344,11818017280,22220816,353318465
21.1,62.4,27917049344,11818029568,22223761,353365064
21.3,62.4,27917049344,11818033664,22230623,353416744
21.7,62.4,27917049344,11818320384,22234111,353485665
21.6,62.4,27917049344,11818455552,22242868,353785550
16.1,62.4,27917049344,11818504704,22249242,353997174
23.3,62.5,27917049344,11818541568,22249516,353997174
30.7,62.5,27917049344,11818824192,22250796,353997812
21.1,62.5,27917131264,11820847616,22250972,353998064
17.8,62.4,27917131264,11821179392,22251197,353998064
19.4,62.4,27917131264,11821232640,22251251,353998238
23.9,62.4,27917131264,11821408768,22251313,353998238
19.8,62.4,27917131264,11821449728,22251313,353998238
21.3,62.4,27917131264,11821523456,22251313,353998238
17.1,62.4,27917131264,11821634048,22256900,354008397
20.0,62.4,27917131264,11821711872,22257223,354008691
21.2,62.4,27917131264,11821720064,22257531,354009033
27.8,62.4,27917131264,11821744640,22264723,354088778
23.8,62.4,27917131264,11821785600,22265081,354097770
26.6,62.4,27917131264,11822006784,22281147,354106971
13.9,62.4,27917131264,11822014976,22281355,354107174
24.7,62.4,27917147648,11822072320,22281417,354107174
20.1,62.4,27917147648,11822350848,22281596,354107349
